City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current_Description
314,Kulhudhuffushi,MV,6.6221,73.07,81.91,77,100,13.33,overcast clouds
315,Victoria,HK,22.2855,114.1577,86.22,89,18,4.0,light rain
316,Kyshtovka,RU,56.555,76.6271,36.1,90,99,6.58,overcast clouds
317,Waipawa,NZ,-41.4122,175.5153,52.03,67,7,2.1,clear sky
318,Leland,US,34.2563,-78.0447,81.05,71,1,6.91,clear sky
319,Bin Qirdan,TN,33.1378,11.2197,76.64,63,0,5.64,clear sky
320,Hovd,MN,48.0056,91.6419,44.76,43,100,6.42,overcast clouds
321,Saint-Pierre,RE,-21.3393,55.4781,71.28,72,90,5.75,overcast clouds
322,Formosa,AR,-26.1775,-58.1781,103.6,19,43,6.87,scattered clouds
323,Grand Gaube,MU,-20.0064,57.6608,72.37,73,5,8.01,clear sky
324,Kerema,PG,-7.9631,145.7785,77.79,90,91,5.64,overcast clouds
325,Derzhavinsk,KZ,51.1,66.3167,36.52,82,31,7.02,scattered clouds
326,Ivanava,BY,52.1451,25.5365,47.82,71,100,9.62,overcast clouds
327,Los Planes,HN,14.05,-88.0167,77.18,78,5,4.74,clear sky
328,Shumskiy,RU,54.8318,99.1328,33.22,90,56,3.96,broken clouds
329,Tigil,RU,57.8,158.6667,37.36,91,100,10.56,light rain
330,Mamallapuram,IN,12.6264,80.1722,82.45,75,15,5.7,few clouds
331,Fortuna,US,40.5982,-124.1573,80.19,63,1,5.99,clear sky
332,Ampanihy,MG,-24.7,44.75,68.61,87,0,6.93,clear sky
333,Inirida,CO,3.8653,-67.9239,85.73,70,38,2.19,scattered clouds
334,Mercedes,AR,-34.6515,-59.4307,63.18,88,100,9.42,overcast clouds
335,Maura,NO,60.25,11.0167,50.11,95,90,2.3,overcast clouds
336,Yeniseysk,RU,58.4497,92.1703,40.05,98,100,3.4,light rain
337,Sur,OM,22.5667,59.5289,88.16,59,100,6.82,overcast clouds
338,Martigues,FR,43.4,5.05,60.89,70,0,5.75,clear sky
339,Avera,US,33.194,-82.5271,86.72,48,99,2.13,overcast clouds
340,Ulaangom,MN,49.9811,92.0667,37.36,73,100,2.01,overcast clouds
341,Severodvinsk,RU,64.5635,39.8302,46.51,91,99,6.29,overcast clouds
342,Eskisehir,TR,39.7767,30.5206,48.18,92,56,6.22,broken clouds
343,Laguna,US,38.421,-121.4238,90.43,22,1,1.01,clear sky
344,Kyaiklat,MM,16.4333,95.7333,79.07,91,83,5.73,broken clouds
